AP90,B-002(d),Jan Bart Sings Fiddler on the Roof in Yiddish,,Tikva Records T 97,,,,Audio CD Copy/ X33,,Yiddish,Pop/Theater,,,,,local,,from Cassette Courtesy of Charley Bernhaut,,m
AP91,B-003(a),Remember        Songs of the Holocaust        Sidor Belarsky,געדענק - זכור   לידער פֿון חורבן - שירי השואה  סידאָר בעלאַרסקי,World Fed..Bergen Belsen Surv,,x,7,"33 1/3 rpm 12""/Audio CD copy x156",,Yiddish/English,Holocaust/Historical,New York,,11,,,,,,x
AP92,B-003(b),Hassidic Melodies Interpreted by Sidor Belarsky,,Artistic Enterprises L P-B 102,,x,7,"33 1/3 rpm 12""/Audio CD copy x153",,Yiddish,Compilation of Songs,New York,,12,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401067&queryWhere=jsa_num&queryValue=401067,,,,x
AP93,B-003(c),A Concert of Jewish Music by Sidor Belarsky,,Artistic Enterprises B-101,,x,7,"33 1/3 rpm 12""/Audio CD copy x152",,Yiddish,Songs of Literary Origin and Folk Songs,New York,,12,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400578&queryWhere=jsa_num&queryValue=400578,,,,x
AP94,B-003(d),Sidor Belarsky in a Yiddish Song Recital,,Artistic Enterprises B-103,,x,7,"33 1/3 rpm 12""/Audio CD copy x163",,Yiddish,Songs of Literary Origin and Folk Songs,New York,,12,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400574&queryWhere=jsa_num&queryValue=400574,,,,x
AP95,B-003(e),Sidor Belarsky                        Favorite Yiddish Songs,,Artistic Enterprises B-104,,x,7,"33 1/3 rpm 12""/Audio CD copy x162",,Yiddish,Folk and Art Songs,New York,,12,,local/http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400637&queryWhere=jsa_num&queryValue=400637,1957,,,x
AP96,B-003(f),Sidor Belarsky                               Songs of Israel,,Artistic Enterprises B-105,,x,7,"33 1/3 rpm 12""/Audio CD copy x165",,Hebrew,,,,,,local,,,,x
AP97,B-003(g),Sidor Belarsky                               Jewish Melodies,,Artistic Enterprises B-106,,x,7,"33 1/3 rpm 12""/Audio CD copy x164",,Yiddish,Songs of Literary Origin,New York,,12,Duplicated on B-003(x),local/http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400696&queryWhere=jsa_num&queryValue=400696,1957,,,x
AP98,B-003(h),Sidor Belarsky & Masha Benya                Once Upon A Time,"אַמאָל איז געװען אַ מעשׂה, ייִדיש לעבן אין מזרח-אײראָפּע",Artistic Enterprises B-107,,x,8,"33 1/3 rpm 12""/Audio CD copy x160",,Yiddish,Montage of Yiddish Songs/Educational,New York,,1,Narrated by Yosl Mlotek,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400573&queryWhere=jsa_num&queryValue=400573,1957,,,x
AP99,B-003(i),Sidor Belarsky                      Concert of Russian Music,,Artistic Enterprises B-109,,x,8,"33 1/3 rpm 12""/Audio CD copy x158",,Russian,Folk and Art Songs,New York,,,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401150&queryWhere=jsa_num&queryValue=401150,,,,x
AP100,B-003(j),Sidor Belarsky                              Special Requests,,Artistic Enterprises B-110,,x,8,"33 1/3 rpm 12""/Audio CD copy x 161",,Yiddish,Songs of Literary Origin & Folk Songs,New York,,11,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400579&queryWhere=jsa_num&queryValue=400579,1960,,,x
AP101,B-003(k),Sidor Belarsky                     Chanukah Festival of Song,,Artistic Enterprises B-111,,x,8,"33 1/3 rpm 12""/Audio CD copy",,Yiddish/Hebrew,Chanike Songs,New York,,,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400987&queryWhere=jsa_num&queryValue=400987,,,,x
AP102,B-003(l),Sidor Belarsky                                       Encore!,,Artistic Enterprises B-114,,x,8,"33 1/3 rpm 12""/Audio CD copy X159",,Yiddish,Songs of Literary Origin & Folk Songs,New York,,14,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400577&queryWhere=jsa_num&queryValue=400577,,,,x
AP103,B-003(m),Sidor Belarsky in Songs by M. Gebirtig,סידאָר בעלאַרסקי אין אַ פּראָגראַם לידער פֿון מרדכי געבירטיג,Artistic Enterprises B-115,,x,8,"33 1/3 rpm 12""/Audio CD copy x171",,Yiddish,Mordkhe Gebirtig Songs,New York,,12,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400576&queryWhere=jsa_num&queryValue=400576,,,,x
AP104,B-003(n),Sidor Belarsky sings Select Yiddish Songs,סידאָר בעלאַרסקי זינגט געקליבענע ייִדישע לידער,Artistic Enterprises B-117,,x,8,"33 1/3 rpm 12""/Audio CD copy x170",,Yiddish,Songs of Literary Origin & Folk Songs,New York,,13,,http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401803&queryWhere=jsa_num&queryValue=401803,,,,x
AP105,B-003(o),Sidor Belarsky Sings...the Hopes and Dreams of the East Side,סידאָר בעלאַרסקי - לידער לכּבֿוד 70 יאָר פֿאָרטעטס,Artistic Enterprises B 119,,x,8,"33 1/3 rpm 12""/Audio CD copy x173",,Yiddish,Songs of 1900 - 1920 Folk/Lit Origin/Protest,New York,,12,Liner Notes by Elizabeth P. Gordon (Chana Mlotek),http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=402850&queryWhere=jsa_num&queryValue=402850,,,,x
