Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
A Festival of Jewish Music,TR 602,,Leon Lissek,Tambur Records,Cassette tape
A Festival of Jewish Music,TR 602,,Leon Lissek,Tambur Records,"33 1/3 RPM - 12"""
A Fidler,Y.K. 101 A / Y.K. 100 B,,Ysaak Gladstone,Yiddish Kinder,"78 RPM - 10"""
A Fifteen Year Celebration,HP 29571,,Martin Davidson,"Horace promotions, LTD","33 1/3 RPM - 12"""
A Fire Burns,RAH 2591,,Robyn Helzner,Privately Issued,Cassette tape
A Folksinger's Choice,EKS-7250,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
A Frehlichs Zu Der Chasene (Wedding Dance),A 13025 / B 13025,1925-02-25,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A Freylachs Die Mamma Is gegangen In Mark Arein,69936-A / 69936-B,1917-12-05,Kandel's Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
A Freylachs; Naches Fin Kinder,03695,,,Pathe,"78 RPM - 10"""
A Funny Thing Happened To Me on the Way to the Suez,AN14009,,Avraham Deshe,Hed-Arzi,"33 1/3 RPM - 12"""
A Gal in Calico,37187,1946-10-22,Benny Goodman; Eve Young,Columbia,"78 RPM - 10"""
A Gala Concert with Moishe Oysher and The Barry Sisters - Tape 1,GRC 296,,Moishe Oysher and the Barry Sisters,Greater Recording Co.,Cassette tape
A Gala Concert with Moishe Oysher and The Barry Sisters - Tape 2,GRC 296,,Moishe Oysher and the Barry Sisters,Greater Recording Co.,Cassette tape
A Gala Concert with Moishe Oysher and The Barry Sisters - Vol 2,GRC 296,,Moishe Oysher and the Barry Sisters,Greater Recording Co.,"33 1/3 RPM - 12"""
A Gala Concert with Moishe Oysher and The Barry Sisters - Vol 2 (Record 2),GRC 296,,Moishe Oysher and the Barry Sisters,Greater Recording Co.,"33 1/3 RPM - 12"""
A Gentle Touch,CBS 25823,,Nurit Galron,CBS,"33 1/3 RPM - 12"""
A Gewir un a Kabsten,809,,I. Szumacher,Hed-Arzi,"78 RPM - 10"""
A Gift from Israel,MCB 15270,,various,Hed-Arzi,Cassette tape
A Gift of Song,70190,,Chava Alberstein,CBS,"33 1/3 RPM - 12"""
"A Girl, A Girl (Zoom-Ba Di Alli Nella)",20-5675,,Eddie Fisher,RCA Victor,"78 RPM - 10"""
"A Girl, A Girl (Zoom-Ba Di Alli Nella)",20-2675,,Eddie Fisher,RCA Victor,"78 RPM - 10"""
A Git Yuhr Zu Alle Leite,73014-B / 73014-A,1920-10-29,Joseph Feldman,Victor - His Master's Voice,"78 RPM - 10"""
A gite Woch,67551-A / 67551-B,1908,H.I. Reissmann,Victor - His Master's Voice,"78 RPM - 10"""
A Gite Woch fun der Alter Heim,67077-A / 67077-B,1927-09-19,Aaron Lebedeff,Brunswick,"78 RPM - 10"""
A Gite Woch Fun Der Alter Heim,A 13059 / B 13059,1927-09-19,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A Gitn Ubend Jidden - Volkslieder,LS 499,,Max Reichard,London,"33 1/3 RPM - 10"""
A Glimpse of Light,L-5983,,Diaspora Yeshiva Light,Galton,"33 1/3 RPM - 12"""
A Good Deal of Davidson,HP29552,,Martin Davidson,Horace Productions,"33 1/3 RPM - 12"""
A Gris Fin Der Alter Heim,72577-A / 72577-B,1920-01-19,Anna Hoffman,Victor - His Master's Voice,"78 RPM - 10"""
A Gris Fin Europe,72620-A / 72620-B,1920-01-28,Simon Paskal,Victor - His Master's Voice,"78 RPM - 10"""
A Gris fun Neuer Russland,73737-B / 73737-A,1922-12-29,William Robyn,Victor - His Master's Voice,"78 RPM - 10"""
A Gruss fin der Heim,E3231,1917,David Medoff,Columbia,"78 RPM - 10"""
A Gruss fon die Trenches,E4033,1918-07,Louis Birnbaum,Columbia,"78 RPM - 10"""
A Gruss Fun Dem Nayem Russland,E7911,1923-02,William Schwartz,Columbia,"78 RPM - 10"""
A Gruss Fun Dem Nayem Russland,E-7911,1923-02,William Schwartz,Columbia,"78 RPM - 10"""
A Gruss Fun Der Heim,69304-B / 69304-A,1917-02-13,Nahen Rosenshak,Victor - His Master's Voice,"78 RPM - 10"""
A Gut Yom Tov,1859 A / 1860,,Rivka Klinitzki,Londisc,"78 RPM - 10"""
A gute voch in der alter heim,80209-A / 80209-B,1927-09-30,Solomon Stramer,Victor - His Master's Voice,"78 RPM - 10"""
A Handful of Stars,26790-A / 26790-B,1940-10-07,Artie Shaw; Anita Boyer,Victor - His Master's Voice,"78 RPM - 10"""
A Hanukka Celebration - Traditional Songs and Original Settings,8.559410,,Various,Naxos,CD
A Happening in Central Park,18 10 0528,,Barbra Streisand,Columbia,8-track tape
A Happy Holiday,LP12006,,Dalia Amihood,Hataklit,"33 1/3 RPM - 12"""
A Harvest of Israeli Folk Songs,EKL-210,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
A Harvest of Israeli Folk Songs,EKS-7210,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
A Heim,EO-CB-3232 / EO-CB-3233,,Jewish People's Philharmonic Choral Society,JPPCSNY,"78 RPM - 10"""
A Heim Far Ins Beiden,A 67147 / B 67147,1929-04,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A Heim in Palestina,A 13028 / B 13028,1925-04-21,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A Heim in Palestina,8069-F,1925-04,Morris Goldstein,Columbia,"78 RPM - 10"""
A Heim! A Heim!,72535-A / 72535-B,1919-11-24,Joe Feldman,Victor - His Master's Voice,"78 RPM - 10"""
A Home Loving Man,26802,,Arik Einstein,CBS,CD
A House on Mount Zion / Learning Hebrew,VZL 353/354,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
A Idishe hupeh,50044-A / 50044-B,1904,Schmulwich,Zon-O-Phone,"78 RPM - 10"""
A Janowski Concert,MRR 570,,Cantor Richard Allen,Private label,"33 1/3 RPM - 12"""
A Jazz Holiday,1525-D,1928-04-03,Ted Lewis,Columbia,"78 RPM - 10"""
"A Jew For All Seasons, A Cantata",X-1/2,,Rabbi Sidney Greenberg,Private label,"33 1/3 RPM - 12"""
A Jewish Celebration in Song: Sholom Kalib - The Day of Rest / Abraham Kaplan: Psalms of Abraham,8.559419,,Vienna Choir Boys,Naxos,CD
A Jewish Odyssey,PUT182-2,,various,Putumayo World Music,CD
A Jewish Wedding,ML 1,,Harriet Kane,MLO Records,"33 1/3 RPM - 12"""
A Jid Bin Ich,V-9032-A / V-9032-B,,"Choral Society ""Hasomir""",Victor - His Master's Voice,"78 RPM - 10"""
A Journey In Time,10236,,Ron Eliran,Hed-Arzi,Cassette tape
A Joyous Holiday,HLC 404,1985,Sheya Mendlowitz,Holyland Records & Tapes,Cassette tape
A Jubilee Celebration,MCD227,,Hazzan Benjamin Z. Maissner,International Music Company,CD
A Judel Von Amerika,63831-A / 63831-B,1908,A. Rosenstein,Victor - His Master's Voice,"78 RPM - 10"""
A Judishe Chupe,1201,1906,unknown,The United Record Co. ,"78 RPM - 10"" single-sided"
A Juhr Nach der Chassene,E3105,1916-09,Simon Paskal,Columbia,"78 RPM - 10"""
A Jumpin' Night in the Garden of Eden,C-3105,,The Klezmer Conservatory Band,Rounder Records,Cassette tape
A Jumpin' Night in the Garden of Eden,3105,,The Klezmer Conservatory Band,Rounder Records,"33 1/3 RPM - 12"""
A Kaballat Shabbat to Remember,JCP4180,,Michael;Lisa and Friends,Pyramid Sound Studios,"33 1/3 RPM - 12"""
A Kadishl Der Mamen,3098,1909,S. Paskal,Zon-O-Phone,"78 RPM - 10"" single-sided"
A Kala Bazetsn,B-2017 A / B-2017 B,,Max Wilner,Banner,"78 RPM - 10"""
A Kalle Bezetsain,78124-A / 78124-B,1924-01-15,Gus Goldstein,Victor - His Master's Voice,"78 RPM - 10"""
A Khazendl Oyf shabbos and other Yiddish folk Songs,CGY-648,,Mikhail Alexandrovich,Menorah,8-track tape
A Khazendl Oyf shabbos and other Yiddish folk Songs,CG-648,,Mikhail Alexandrovich,Menorah,Cassette tape
A Khazendl Oyf shabbos and other Yiddish folk Songs,CGY 648,1966,Mikhail Alexandrovich,Collector's Guild,"33 1/3 RPM - 12"""
A Khusn Mit Nadan,12016,,Max Perlman - Gita Galina,Makolit,"33 1/3 RPM - 12"""
A Khusn Mit Nadan,40109,,Max Perlman - Gita Galina,Hataklit,Cassette tape
A Kind is die Velt,68561-A / 68561-B,1920-06-30,Anna Hoffman; Jacob Jacobs,Victor - His Master's Voice,"78 RPM - 12"""
A kind on a heim,14037-A / 14037-B,1922-03,Clara Gold,Okeh,"78 RPM - 10"""
A Kind un a Heim,72491-A / 72491-B,1919-05-26,Naum Coster,Victor - His Master's Voice,"78 RPM - 10"""
A Kind Un A Heim,13178,1921-04,Estelle Schreiner,Emerson,"78 RPM - 10"""
A Kiss in the Dark,1029-A / 1029-B,1924-04-11,Fritz Kreisler,Victrola Record,"78 RPM - 10"""
A Kiss in the Night,37149,1946-08-07,Benny Goodman; Art Lund,Columbia,"78 RPM - 10"""
A Klein Melamed'l,B-2060 A / B-2060 B,,Ysaak Gladstone,Banner,"78 RPM - 10"""
A Klein Melamedl,51-0000A / 51-0000B,,Saul Meisels,RCA Victor,45 RPM
A Klein Melamedl,25-5090-A / 25-5090-B,,Saul Meisels,RCA Victor,"78 RPM - 10"""
A Kurt Weill Cabaret,E4180,,Martha Schlamme ; Will Holt,MGM,"33 1/3 RPM - 12"""
A la Valse,1079-A / 1079-B,1924-11-18,Mischa Elman,Victrola Record,"78 RPM - 10"""
A Laibediga Honga,78613-B / 78613-A,1925-07-09,Kandel's Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
A Learning Skill and listening Experience in Judaism,110 B,,Chadish Media,Chadish,Cassette tape
A Learning Skill and listening Experience in Judaism,110 GB,,Chadish Media,Chadish,Cassette tape
A Learning Skill and listening Experience in Judaism,110 C,,Chadish Media,Chadish,Cassette tape
A Learning Skill and listening Experience in Judaism,145 A,,Chadish Media,Chadish,Cassette tape
A Learning Skill and Listening in Judaism,110 D,,Chadish Media,Chadish,Cassette tape
A Learning Skill and Listening in Judaism,110 E,,Chadish Media,Chadish,Cassette tape
A Legend (Aggadah),104-3B / 103-3A,,Edith Evans; David Bloomberg,United Synagogue,"78 RPM - 12"""
A Lesson in Liebe,B 13034 / A 13034,1926-02-15,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A Lesson In Liebe,8115-F,1926-04,Peisachke Burstein,Columbia,"78 RPM - 10"""
A Letter to Marc Chagall,S 63307,,Stainslaw Wiechowicz,CBS,"33 1/3 RPM - 12"""
A Letter to Moshiach,MS-5000,,Meir Sherman,Tzahalah Production,"33 1/3 RPM - 12"""
A Letter to My Mother,827,1949-05,Leo Fuld,London,"78 RPM - 10"""
A liebendes puur,E4786,1920-05,William Schwartz; Rachel Rosenfield,Columbia,"78 RPM - 10"""
A Liebes Erklerung,13259,1924-06,William Schwartz,Emerson,"78 RPM - 10"""
A Lied Fun A Feigele,A 67086 / B 67086,1928-03-05,Isa Kremer,Vocalion,"78 RPM - 10"""
A Lied Fun A Feigele,03675 B / 03675,1924-03,Estelle Shreiner,Pathe,"78 RPM - 10"""
A Lied fun Frieheit,1057-B / 1057-A,,Jacob Zanger,Sun,"78 RPM - 10"""
A Lied Von A Feigele,40018-B / 40018-A,1922-12,Isa Kremer,Brunswick,"78 RPM - 10"""
A Life of Music - Disc 1,JSA 1021,,Louis Danto,JSA,CD
A Life of Music - Disc 2,JSA 1022,,Louis Danto,JSA,CD
A Life of Music - Disc 3,JSA 1023,,Louis Danto,JSA,CD
A Ligen,40003-B / 40003-A,1921-08,Louis Birnbaum,Brunswick,"78 RPM - 10"""
A Little Bit of Everything,MS 4000,,Meir Sherman,Tzahalah Production,Cassette tape
"A Little Bit of Heaven (Sure, They Call it Ireland)",35979,1941-01-22,Harry James,Columbia,"78 RPM - 10"""
A Little Bit of Heaven / Eli-Eli,35979,1941-01-29,Harry James,Columbia,"78 RPM - 10"""
A Little Journey,SA32017,,Natanela ; Dudu Zakkai,Isradisc Ltd.,"33 1/3 RPM - 12"""
A Little Kiss at Twilight,25878-A / 25878-B,1938-05-31,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
A Litvok Serenade,B-513 A / B-513 B,,Aaron Lebedeff,Banner,"78 RPM - 10"""
A Lodge Meeting,B-2055 B / B-2055 A,,Fisheil; Mintz,Banner,"78 RPM - 10"""
A Love Like Ours,CT 69601,,Barbra Streisand,Columbia,Cassette tape
A Love Until the End of Time,TS-86-103/104,,Cantor Ed Fogel,Private label,"33 1/3 RPM - 12"""
A Lustige Nacht In Eretz Isroel,E7759,1920-05,Abe Schwartz's Orchestra,Columbia,"78 RPM - 10"""
A Maiseh,8215-F,,Isa Kremer,Columbia,"78 RPM - 10"""
A Maisele,100-2 a / 100-2 b,,Flora Dinerstein,Metro,"78 RPM - 10"""
A Maisele ; Ergetz Vait,273-A / 273-B,,Sidor Belarsky,Musicraft,"78 RPM - 10"""
A malke,79024-A / 79024-B,1926-10-21,Nellie Casman,Victor - His Master's Voice,"78 RPM - 10"""
A Malke Of Peisach,A-14521 / B-14521,1923-02,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A mama,79439-A,1925-10-28,Solomon Rothstein,Victor - His Master's Voice,"78 RPM - 10"""
A Mama Sings a Liedele,LPS 492,,Sy Menchin,Apollo,"33 1/3 RPM - 12"""
A Mama Sings a Liedele,ALP 492,,Sy Menchin ; His Steven Scott Orchestra-Featuring Rose Padden,Apollo,"33 1/3 RPM - 12"""
A Mama Weint,78622-A / 78622-B,1926-01-22,Joseph Feldman,Victor - His Master's Voice,"78 RPM - 10"""
A Mame's Laiden,72824-B / 72824-A,1920-09-29,Naum Coster,Victor - His Master's Voice,"78 RPM - 10"""
A Mame's Trehren,73345-B / 73345-A,1922-06-10,Nellie Casman,Victor - His Master's Voice,"78 RPM - 10"""
A Mame's Trehren,E7690,1922-05,Rosela Soffian,Columbia,"78 RPM - 10"""
A Man Within Himself,81092,,Shalom Hanoch,CBS,"33 1/3 RPM - 12"""
A Man's Life,SIS 31033,,The Ofarim,Isradisc Ltd.,"33 1/3 RPM - 12"""
A Man's life,AN 46-00,,Benny Berman,Hed-Arzi,"33 1/3 RPM - 12"""
A Maseh,8228-F,1927-05-17,Isa Kremer,Columbia,"78 RPM - 10"""
A Maydl In Di Johren,J.M. 701 A / J.M. 700 B,,Isa Kremer,Seva,"78 RPM - 10"""
A Medley of Oriental & Chassidic Songs,No 108,,Yossi Piamenta ; Eli Teitelbaum,Dimension Sound Studios,"33 1/3 RPM - 12"""
A Meeting of Worlds in Bethlehem,VZL 389/390,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
A Meidel in Die Juren,40082-B / 40082-A,1923-05-12,Isa Kremer,Brunswick,"78 RPM - 10"""
A Meidel Kalmen,8028-F,1923,Rubin Goldberg,Columbia,"78 RPM - 10"""
A Meidele Vi Du,8241-F,,Seymour Rechtzeit,Columbia,"78 RPM - 10"""
A Melave Malke with Avraham Fried,HL 504,,Avraham Fried,Holyland Music,"33 1/3 RPM - 12"""
A Melave Malke with Avraham Fried,HLC-504,,Avraham Fried,Holyland Music,Cassette tape
A Memorial To The Victims of War,3315,,Slovak Philharmonic Orchestra & Chorus; Bratislava Radio Symphony Orchestra,Everest/Scala Recordings,"33 1/3 RPM - 12"""
A Mensch Sol Men Sein,16775-B / 16775-A,1908-11-30,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"""
A Mensch Sol Men Sein,5648,1908-11-30,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
A mensch soll men sein,51001-B / 51001-A,1909-11,Kalman Juivler,Zon-O-Phone,"78 RPM - 12"""
A Mensch Soll Men Sein,3058,1908-12,Regina Prager; Kalmen Juvelier,Zon-O-Phone,"78 RPM - 10"" single-sided"
A mensch soll men sein,68362-A / 68362-B,1909-11,Juivler,Victor - His Master's Voice,"78 RPM - 12"""
A mensh zol men sein,E3616,1917-09,Minnie Birnbaum,Columbia,"78 RPM - 10"""
A Milstein Recital,T 36,,Nathan Milstein,Capitol Records,"33 1/3 RPM - 12"""
A Miracle in our Time,5739,,Cantor Sherwood Goffin; Seymor Rockoff,NCSY,"33 1/3 RPM - 12"""
A Mitzvah for the dead,VCS 100576,,Paul Zukofsky - Violin,Vanguard,"33 1/3 RPM - 12"""
A Mitzve Tenzel,40001-A / 40001-B,1921-08,Israel J. Hochman's Orchestra,Brunswick,"78 RPM - 10"""
A Mother's Voice,MEW1002,,Marilyn Michaels,Marilyn Michaels,CD
A Mother's Voice,MEW1002,,Marilyn Michaels,Marilyn Michaels,Cassette tape
A Mozzle Tuff Far'n M'chitten,415-A / 415-B,1946,Benny Bell,Bell Records,"78 RPM - 10"""
A Musical Journey: A Farewell Service and Concert honoring Cantor Norman Summers,T.B.J. 1999,1999,,Temple B'nai Jeshurun,CD
A Musical Mazel Tov to the Bride & Groom,13192,,Paul Zim,Simcha Procutions,Cassette tape
A Musical Program on 20 Years of Song / Songs the Children Sing,VZL 383/384,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
A Musical Program with the Army Entertainment Group / A Feature Program on the Old City of Jaffa,VZL 379/380,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
A Musical Reunion Kalisz to California,102543,2014,,Unknown,CD
A Musical Tour of Israel,SEE 1001,,Sam Appel and the Philadelphia Jewish Community Chorus,Sight See Sound,"33 1/3 RPM - 12"""
"A Musical Tribute to Israel - Sam Appel sings ""Songs I Love""",61268,,Sam Appel,Paramount Records,"33 1/3 RPM - 12"""
A Musical Trip with George Burns,BDS 5127,,George Burns,Sutra,"33 1/3 RPM - 12"""
A Nation is Born,E-200 / E-205,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion; Hershel Johnson; Andrei Gromyko; Nahum Goldman; Dr. Emauel Neumann,Banner,"78 RPM - 10"""
A Nation is Born,J-200 / J-201,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion,Banner,"78 RPM - 10"""
A Nation is Born - Part 2,J-201 / J-204,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion,Banner,"78 RPM - 10"""
A Nation is Born - Part 2,E-201,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion,Banner,"78 RPM - 10"""
A Nation is Born - Part 3,J-202 / J-205,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion,Banner,"78 RPM - 10"""
A Nation is Born - Part 3,E-202 / E-203,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion,Banner,"78 RPM - 10"""
A Nation is Born - Part 3,J-202 / J-203,,Rabbi Abba Hillel Silver; Moshe Shertock; David Ben Gurion,Banner,"78 RPM - 10"""
A Nation is Born - Part 5,J-204 / J-205,,Hershel Johnson; Andrei Gromyko,Banner,"78 RPM - 10"""
A naye zeit,E7507,1921-11,Abraham Moskowitz,Columbia,"78 RPM - 10"""
A Neginah Wedding - Vol. III,8T-1315,,Neginah Orchestra,Y & Y Productions,8-track tape
A Neginah Wedding - Vol. III,NO-1315,1979,Neginah Orchestra,Y & Y Productions,"33 1/3 RPM - 12"""
A Ness,A 67177 / B 67177,1929-12-06,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
A New Light,30711,,Cantor Maurice Schellekes,Hed-Arzi,"33 1/3 RPM - 12"""
A New Song,CH 3001,1967,The Zamir Chorale,Chessman,"33 1/3 RPM - 12"""
A New Song of the Redeemed,101,1974,Cantor Kalman Stekel,Sharvit Records,"33 1/3 RPM - 12"""
A New World and Joy in Heart,BAN14213,,Variety Ensemble of the Armoured Corps,Hed-Arzi,"33 1/3 RPM - 12"""
A Nig'n After My Heart,BAN 14844,,Lea Szlanger,Hed-Arzi,"33 1/3 RPM - 12"""
"A Night in Israel (Or, We Spent a Week There One Monday Night)",55980,,Tommy Oliver,Audition Record,45 RPM
A Nign'dl,100-1 a / 100-1 b,,Carol Rothman,Metro,"78 RPM - 10"""
A Nign/Der Balagole,1 B / 1 A,1940,Sidor Belarsky,Musicraft,"78 RPM - 10"" Album"
A Nigun,A.2029,,Sarah Gorby,Israphon,"78 RPM - 10"""
A Nigundl/ Jewish Folksongs/ Soloists of the State Theatre of Bucharest,TM-EPE 0935,,Soloists of the State Theatre of Bucharest,Electrecord,"33 1/3 RPM - 12"""
A Ningun Vos Loift Mir Noch,OR1000,,Ora Sittner,Eshel Studios,CD
A Padi Bei Bal-Agalohs,14060-A / 14060-B,1922 - 1923,Gus Goldstein; Clara Gold,Okeh,"78 RPM - 10"""
A Pair of Loaded Dice (A Program on Archaeology in Israel) / Music of Israel,VZL 209/210,,Unknown;  Kol Yisrael Light Orchestra,Vistas of Israel,"33 1/3 RPM - 12"""
"A Parade of ""Pops"" In Yiddish",LP 055,,Seymour Rechzeit,Banner,"33 1/3 RPM - 10"""
A Passover Family Seder with Paul Zim,2001,,Paul Zim,Menorah,"33 1/3 RPM - 12"""
A Passover Seder with Cantor Moishe Oyster,GRC 400,,Cantor Moishe Oyster,Greater Recording Co.,Cassette tape
A Passover Seder with Jan Peerce,LM-1971,,Jan Peerce,RCA Victor Red Seal,"33 1/3 RPM - 12"""
A Passover Sing-along for Kids,C-5147N,,unknown,Brentwood Music,Cassette tape
A Pastuch'l,8260-F,,Richard Tucker,Columbia,"78 RPM - 10"""
A Pastuch's Cholom,V-9088-B / V-9088-A,1941-04-15,Dave Tarras,Victor - His Master's Voice,"78 RPM - 10"""
A Pastuch's Cholom,25-5050-A / 25-5050-B,1941-04-15,Dave Tarras,RCA Victor,"78 RPM - 10"""
A Pastuchel,57057-F,1926-01,Cantor Mordechay Hershman,Columbia,"78 RPM - 12"""
A Pastuchl,57063-F,,Miklos Gafni,Columbia,"78 RPM - 12"""
A Peaceful Hour,,,Itzik Becher,Aviv Productions,Cassette tape
A People Beloved,M-7322,,Cantor Joshua Wieder,Musique Internationale,Cassette tape
A People Beloved,M-7322,,Cantor Joshua Wieder,Musique Internationale,"33 1/3 RPM - 12"""
A People that Sings - Lives!,ALP 1002,,Cantor Jacob Koussevitsky,"Aleph, Inc.","33 1/3 RPM - 12"""
A People that Sings - Lives!,ALP 353,,Cantor Samuel Malavsky and Family choir,ABC Records,"33 1/3 RPM - 10"""
A Perfect Day,64607,1916-09-25,Alma Gluck,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
A Perfect Day,64607,1916-12-27,Alma Gluck,Victrola Record,"78 RPM - 10"" single-sided"
A Personal Appearance,V-15027,,Shelley Berman,Verve,"33 1/3 RPM - 12"""
A Portrait,DS14033,,Menachem Begin,Hed-Arzi,"33 1/3 RPM - 12"""
A Portrait,CBS80747,,Aric Lavie,CBS,"33 1/3 RPM - 12"""
A Program of Jewish Liturgical Music by the Choir of Temple Emanu-el,MAC-1779,,Dr. Milton L. Grafman ; Herbert Grieb,RCA Victor,"33 1/3 RPM - 12"""
A Rainy Night in Rio,37157,1946-09-13,Dinah Shore,Columbia,"78 RPM - 10"""
A Recital by Shoshana Shoshan,SPE-733,,Shoshana Shoshan,World Stereo,"33 1/3 RPM - 12"""
A Recital of Handel Arias,LD.9088,,Kathleen Ferrier with the London Philharmonic Orchestra,London,"33 1/3 RPM - 10"""
A Recital of Hebrew and Yiddish Songs,M 7328,,Sima Miller,Musique Internationale,"33 1/3 RPM - 12"""
A Recital of Israeli & Yiddish Songs,T 26,,Elly Stone,Tikva - Eurotone,"33 1/3 RPM - 12"""
A Recital of Jewish Classic songs,346,,Henry Belasco,ABC Records,"33 1/3 RPM - 10"""
A Recital of Jewish Music,CM 573,,Solomon Gisser,Musique Internationale,Cassette tape
A Refiya far Vantzen,,,Stan Freeman,Turtle Muse Digital Arts,CD
A Regesh Wedding,BBW-1901,,Regesh Ensemble,Private label,Cassette tape
A Reiner Numen,13198,1921,Madame Rose Kraus,Emerson,"78 RPM - 10"""
A Romance with Yaffa Yarkoni,AN 43-19,,Yaffa Yarkoni,Hed-Arzi,"33 1/3 RPM - 12"""
A Ruach Simcha,R-701,,Sam Klaver ; Ira Silber,Ruach,"33 1/3 RPM - 12"""
A Rumenisher Nigun,8220-F,1927-04,Dave Tarras,Columbia,"78 RPM - 10"""
A Rumenisher Nigun,8135-F,1927-04,Dave Tarras,Columbia,"78 RPM - 10"""
A Sach Meloches Un Venig Broches,8169-F,1928-03,Peisachke Burstein,Columbia,"78 RPM - 10"""
A Sacred Spirit - Music Shabbat at TSI,,,Cantor Deborah Katchko-Gray,Private label,CD
A Salute to Richard Tucker,M 30118,,Richard Tucker,Columbia,"33 1/3 RPM - 12"""
A Schtetl is Amerike,240939-2,,Geduldig und Thimann,WEA music,CD
A Schtetl is Amerike,240939,,Geduldig and Thimann,WEA music,"33 1/3 RPM - 12"""
A Seder for the Seventies,MS 7314,,Cantor Richard Botton,Musique Internationale,"33 1/3 RPM - 12"""
